range,posture,start,end,
180,Lying,5148258,5148609,
180,Lying,5148258,5148619,
180,Lying,5148258,5148633,
180,Lying,5148258,5148648,
180,Lying,5148258,5148661,
180,Lying,5148258,5148678,
180,Lying,5148258,5148690,
180,Lying,5148258,5148701,
180,Lying,5148258,5148720,
180,Lying,5148258,5148730,
180,Lying,5148258,5148743,
180,Lying,5148258,5148759,
180,Lying,5148258,5148772,
180,Lying,5148258,5148788,
180,Lying,5148258,5148802,
180,Lying,5148258,5148812,
180,Lying,5148258,5148827,
180,Lying,5148258,5148840,
180,Lying,5148258,5148857,
180,Lying,5148258,5148869,
180,Lying,5148258,5148882,
180,Lying,5148258,5148899,
180,Lying,5148258,5148912,
180,Lying,5148258,5148928,
180,Lying,5148258,5148938,
180,Lying,5148258,5148951,
180,Lying,5148258,5148967,
180,Lying,5148258,5148981,
180,Lying,5148258,5148996,
180,Lying,5148258,5149009,
180,Lying,5148258,5149023,
180,Lying,5148258,5149038,
180,Lying,5148258,5149048,
180,Lying,5148258,5149067,
180,Lying,5148258,5149078,
180,Lying,5148258,5149091,
180,Lying,5148258,5149107,
180,Lying,5148258,5149120,
180,Lying,5148258,5149130,
180,Lying,5148258,5149149,
180,Lying,5148258,5149160,
180,Lying,5148258,5149178,
180,Lying,5148258,5149189,
180,Lying,5148258,5149204,
180,Lying,5148258,5149217,
180,Lying,5148258,5149231,
180,Lying,5148258,5149246,
180,Lying,5148258,5149259,
180,Lying,5148258,5149271,
180,Lying,5148258,5149289,
180,Lying,5148258,5149299,
180,Lying,5148258,5149315,
180,Lying,5148258,5149333,
180,Lying,5148258,5149344,
180,Lying,5148258,5149358,
180,Lying,5148258,5149370,
180,Lying,5148258,5149381,
180,Lying,5148258,5149400,
180,Lying,5148258,5149410,
180,Lying,5148258,5149425,
180,Lying,5148258,5149438,
180,Lying,5148258,5149452,
180,Lying,5148258,5149468,
180,Lying,5148258,5149480,
180,Lying,5148258,5149497,
180,Lying,5148258,5149507,
180,Lying,5148258,5149520,
180,Lying,5148258,5149536,
180,Lying,5148258,5149549,
180,Lying,5148258,5149565,
180,Lying,5148258,5149579,
180,Lying,5148258,5149592,
180,Lying,5148258,5149607,
180,Lying,5148258,5149618,
180,Lying,5148258,5149631,
