Direction,tCount,Time,HeadPolar,HeadAzimuth,TrunkPolar,TrunkAzimuth
315,1,37.95227,1.135997,0.9320903,-6.322697,0.684098,
315,1,37.98056,1.184139,1.057322,-6.01296,0.5662969,
315,1,38.00865,1.206214,1.07154,-5.187253,0.2817029,
315,1,38.03669,1.21095,1.020252,-5.550473,0.4170812,
315,1,38.064,1.20797,1.053351,-3.673952,-0.9659411,
315,1,38.10048,1.205322,1.071444,-3.546019,-0.9472337,
315,1,38.13525,1.200623,1.21541,-3.3987,-0.9252993,
315,1,38.16253,1.190835,1.48709,-3.249403,-0.8970909,
315,1,38.18885,1.166609,1.896418,-2.938218,-0.8262228,
315,1,38.21651,1.12948,2.360962,-3.259133,-0.5799159,
315,1,38.24373,1.142326,3.056816,-3.665828,-0.1025716,
315,1,38.27091,1.140666,3.645261,-3.713321,0.06205579,
315,1,38.2989,1.268161,4.022052,-3.015334,-0.4125947,
315,1,38.3264,1.456746,4.098274,-4.140499,0.6429422,
315,1,38.35415,1.789631,3.908661,-4.13671,0.6733014,
315,1,38.38193,2.212811,3.224758,-3.993509,0.7724937,
315,1,38.40916,2.770639,2.305553,-3.1905,0.257991,
315,1,38.43707,3.454795,0.8648972,-2.126773,-0.4535297,
315,1,38.46684,4.213317,-1.058133,-1.972566,-0.4396654,
315,1,38.49279,5.061272,-3.044489,-2.338376,0.01419802,
315,1,38.51998,6.185447,-4.653932,-1.815902,-0.2765882,
315,1,38.54818,7.455883,-6.16773,-2.4117,0.2666504,
315,1,38.57578,9.243788,-7.669998,-1.359771,-0.08494736,
315,1,38.60382,11.45275,-9.063175,-1.044771,-0.07865317,
315,1,38.6314,13.86421,-10.51993,-0.877138,0.04283814,
315,1,38.65942,16.31781,-12.34774,-0.6972678,0.1506218,
315,1,38.68729,18.77,-14.64429,-0.5201789,0.2797805,
315,1,38.71499,21.13835,-17.62125,-1.025628,0.9769607,
315,1,38.74331,23.15464,-20.02979,-1.461881,1.645622,
315,1,38.77057,24.90325,-21.38525,-0.3262284,0.9088613,
315,1,38.79881,26.67321,-22.92551,-0.01602654,0.8905534,
315,1,38.82618,28.32433,-24.1774,-0.01034104,1.118672,
315,1,38.8535,29.5678,-25.11933,0.2050062,0.9601799,
315,1,38.88115,30.60227,-26.21918,0.4111674,1.064379,
315,1,38.90882,31.33055,-26.6398,0.6577717,1.136373,
315,1,38.9372,31.87402,-26.81334,0.910899,1.111206,
315,1,38.96496,32.41386,-26.80815,1.219583,-0.3645432,
315,1,38.99213,32.87295,-26.77697,1.440102,-0.2770766,
315,1,39.0206,33.22515,-26.75888,1.555716,0.5194284,
315,1,39.04813,33.47625,-26.77946,1.948373,-0.2201376,
315,1,39.07572,33.62881,-26.83721,2.224575,-0.4739589,
315,1,39.10387,33.52348,-26.81515,2.439421,-0.5656936,
315,1,39.13173,33.21162,-26.7293,2.621864,-0.5368884,
315,1,39.15934,32.61199,-26.51717,2.790993,-0.5954726,
